iter	MAPE	RMSE
737	0.2706709623	300.6257599
738	0.2705640755	300.5052362
739	0.2705299773	300.4561822
740	0.2705465134	300.4096513
741	0.2704758167	300.349588
742	0.2704400761	300.3002456
743	0.2703721658	300.1979173
744	0.2704003353	300.1842865
745	0.2703302859	300.1460501
746	0.2702108791	300.0740297
747	0.2699130382	299.8637752
748	0.2698478306	299.6217264
749	0.2697679852	299.5455798
750	0.2696825485	299.5178297
751	0.269523694	299.4620532
752	0.2693959415	299.3339241
753	0.2691680964	299.1947202
754	0.2690513802	298.9490538
755	0.2689872369	298.9077116
756	0.2689280539	298.8070084
757	0.2688477198	298.6767791
758	0.2687951826	298.6412022
759	0.2687336716	298.6000223
760	0.2686515489	298.5490401
761	0.2685884469	298.5292312
762	0.2684695705	298.4885776
763	0.2684484691	298.450454
764	0.2683570055	298.4143547
765	0.2682187545	298.2684028
766	0.2681050276	298.0983142
767	0.2679994938	298.0143945
768	0.2679546395	297.9842535
769	0.2678939014	297.8033309
770	0.2678032635	297.7106314
771	0.2676980463	297.6774619
772	0.2676175225	297.5550107
773	0.2676404046	297.4533021
774	0.2675205948	297.3060288
775	0.2674583314	297.2456495
776	0.2673441496	297.0754025
777	0.2672559834	296.9596549
778	0.2671755134	296.7885918
779	0.26711942	296.7446367
780	0.2669155138	296.6757059
781	0.2668255296	296.5674168
782	0.2667625112	296.4407246
783	0.2666897513	296.3590225
784	0.2666306469	296.3117216
785	0.2665400985	296.2357496
786	0.2665005403	296.1951928
787	0.2663895566	296.0245982
788	0.266315872	295.973019
789	0.2662122276	295.9372311
790	0.2660858088	295.8617206
791	0.26601744	295.8195108
792	0.2659520959	295.7789488
793	0.2658506474	295.6574818
794	0.2658069604	295.5685795
795	0.2657796453	295.5467224
796	0.2657545809	295.4646536
797	0.2655978357	295.3709798
798	0.2655359265	295.2646013
799	0.2654831325	295.2425145
800	0.2654235395	295.1346732
801	0.2652050047	295.026835
802	0.2651115375	294.880112
803	0.265074925	294.8260947
804	0.2649445162	294.7772363
805	0.264917413	294.6852407
806	0.2648199886	294.6459713
807	0.264734621	294.6157634
808	0.2645732686	294.4986435
809	0.2645188118	294.4627188
810	0.2644794998	294.4029998
811	0.2644091661	294.3454155
812	0.2643799339	294.2762651
813	0.2642342638	294.23145
814	0.2640371058	294.1391264
815	0.2639475508	294.0675331
816	0.2637975512	293.8848336
817	0.2636994928	293.7847714
818	0.2636457296	293.7303765
819	0.2635263351	293.5869596
820	0.2634590964	293.3272262
821	0.2633636041	293.2424709
822	0.2633571733	293.1585684
823	0.2632027953	292.8699054
824	0.2631415947	292.8498909
825	0.2630499567	292.8016556
826	0.2629389998	292.6484174
827	0.2628685942	292.5694815
828	0.2628443125	292.5328754
829	0.2627043143	292.4735948
830	0.2625333362	292.4288067
831	0.2624295681	292.3571737
832	0.2622782818	292.1273449
833	0.2622612011	292.0906202
834	0.2622521377	291.9729062
835	0.2621473242	291.8671694
836	0.2620534218	291.8231226
837	0.2618952473	291.7646321
838	0.2618835007	291.7468323
839	0.2618752976	291.581727
840	0.2618162319	291.5209867
841	0.2617382798	291.4508029
842	0.2616787347	291.4181034
843	0.2615909947	291.2689798
844	0.261551107	291.2310827
845	0.2614640242	291.1063782
846	0.2612259564	290.9426964
847	0.2611834518	290.8747794
848	0.2611591454	290.8382212
849	0.2611615118	290.8355651
850	0.2611371134	290.8225086
851	0.2610282398	290.7641546
852	0.2609797982	290.6644392
853	0.2609546764	290.6204114
854	0.2608983313	290.5919499
855	0.2607824561	290.5573781
856	0.2607770587	290.5100166
857	0.2605614912	290.4286945
858	0.2604345157	290.1964141
859	0.2602716405	290.0429005
860	0.2602237192	289.8422142
861	0.2600166697	289.6896021
862	0.2599196864	289.6168884
863	0.2598457713	289.5842847
864	0.2597654926	289.5170416
865	0.2597192188	289.49241
866	0.2596392313	289.3951693
867	0.2595625096	289.3508181
868	0.259473063	289.3244891
869	0.2594852452	289.2565129
870	0.2593331299	289.1114759
871	0.2592021879	289.0010413
872	0.2591585618	288.9952045
873	0.2590726072	288.8994761
874	0.2589578758	288.8014317
875	0.2589459918	288.7519841
876	0.2589192431	288.7050812
877	0.2589067234	288.6747068
878	0.2588575997	288.6702125
879	0.2588036857	288.6488265
880	0.2588045261	288.6037808
881	0.2587961195	288.5440248
882	0.2586472191	288.462245
883	0.2585966103	288.4091457
884	0.2585808753	288.3562702
885	0.2585617842	288.3454269
886	0.2585302242	288.3194292
887	0.2584532854	288.2724886
888	0.2583372347	288.1856598
889	0.2582427371	288.1042697
890	0.2581042535	287.8604144
891	0.2581086018	287.8294214
892	0.2580424474	287.806294
893	0.2580021562	287.7667098
894	0.2579942065	287.7233018
895	0.2579772799	287.7141506
896	0.257964967	287.6955007
897	0.2578848492	287.5774558
898	0.2578419003	287.5584479
899	0.2577540329	287.3503409
900	0.2577313469	287.2942638
901	0.257679725	287.2199638
902	0.2574708234	287.1129133
903	0.2574373612	287.0651835
904	0.2574384294	287.0388935
905	0.2573357488	286.8066395
906	0.2572837944	286.6524671
907	0.2572307361	286.5970072
908	0.2571650421	286.5042427
909	0.2571150547	286.4689519
910	0.25707567	286.4046448
911	0.2570446061	286.3306221
912	0.2569833719	286.271491
913	0.2568922638	286.1506198
914	0.2568120019	286.0221021
915	0.256691282	285.9135635
916	0.2566317728	285.7416637
917	0.2566055987	285.654885
918	0.2565127155	285.6113689
919	0.2565128198	285.610659
920	0.2564938935	285.5766366
921	0.2564146873	285.4765933
922	0.2563603685	285.3288052
923	0.256313396	285.2983729
924	0.2561989056	285.2370511
925	0.2562071273	285.1262294
926	0.2560986246	285.0149776
927	0.2559682917	284.9511348
928	0.2557217119	284.8245687
929	0.255703087	284.7973634
930	0.2556918552	284.6968895
931	0.2554961377	284.6249768
932	0.2554517035	284.6125076
933	0.2553311613	284.5376098
934	0.2552306343	284.429762
